CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
333,IPC,392,1,1
334,IPC,302,1,1
335,IPC,302,1,1
336,IPC,302,1,1
337,IPC,302,1,1
338,IPC,302,1,1
339,IPC,392,1,1
340,IPC,302,1,1
341,IPC,392,1,1
342,IPC,392,1,1
343,IPC,302,1,1
344,IPC,392,1,1
345,IPC,302,1,1
346,IPC,302,1,1
347,IPC,302,1,1
348,IPC,302,1,1
349,IPC,302,1,1
350,IPC,302,1,1
351,IPC,302,1,1
352,IPC,302,1,1
353,IPC,392,1,1
354,IPC,302,1,1
355,IPC,392,1,1
356,IPC,302,1,1
357,IPC,302,1,1
358,IPC,302,1,1
359,IPC,392,1,1
360,IPC,302,1,1
361,IPC,302,1,1
362,IPC,302,1,1
363,IPC,392,1,1
364,IPC,302,1,1
365,IPC,392,1,1
366,IPC,392,1,1
367,IPC,302,1,1
368,IPC,302,1,1
369,IPC,302,1,1
370,IPC,302,1,1
371,IPC,392,1,1
372,IPC,302,1,1
373,IPC,302,1,1
374,IPC,302,1,1
375,IPC,392,1,1
376,IPC,392,1,1
377,IPC,392,1,1
378,IPC,302,1,1
379,IPC,302,1,1
380,IPC,302,1,1
381,IPC,392,1,1
382,IPC,392,1,1
383,IPC,302,1,1
384,IPC,302,1,1
385,IPC,392,1,1
386,IPC,302,1,1
387,IPC,392,1,1
388,IPC,392,1,1
389,IPC,302,1,1
390,IPC,302,1,1
391,IPC,302,1,1
392,IPC,302,1,1
393,IPC,302,1,1
394,IPC,392,1,1
395,IPC,392,1,1
396,IPC,302,1,1
397,IPC,302,1,1
398,IPC,392,1,1
399,IPC,392,1,1
400,IPC,302,1,1
401,IPC,392,1,1
402,IPC,392,1,1
403,IPC,302,1,1
404,IPC,392,1,1
405,IPC,392,1,1
406,IPC,392,1,1
407,IPC,302,1,1
408,IPC,302,1,1
409,IPC,302,1,1
410,IPC,302,1,1
411,IPC,302,1,1
412,IPC,392,1,1
413,IPC,302,1,1
414,IPC,392,1,1
415,IPC,302,1,1
416,IPC,392,1,1
417,IPC,302,1,1
418,IPC,392,1,1
419,IPC,392,1,1
420,IPC,302,1,1
421,IPC,302,1,1
422,IPC,302,1,1
423,IPC,302,1,1
424,IPC,392,1,1
425,IPC,302,1,1
426,IPC,302,1,1
427,IPC,392,1,1
428,IPC,302,1,1
429,IPC,392,1,1
430,IPC,302,1,1
431,IPC,392,1,1
432,IPC,392,1,1
433,IPC,302,1,1
434,IPC,392,1,1
435,IPC,392,1,1
436,IPC,392,1,1
437,IPC,302,1,1
438,IPC,302,1,1
439,IPC,392,1,1
440,IPC,302,1,1
441,IPC,302,1,1
442,IPC,302,1,1
443,IPC,392,1,1
444,IPC,392,1,1
445,IPC,392,1,1
446,IPC,392,1,1
447,IPC,302,1,1
448,IPC,302,1,1
449,IPC,302,1,1
450,IPC,302,1,1
451,IPC,302,1,1
452,IPC,392,1,1
453,IPC,392,1,1
454,IPC,392,1,1
455,IPC,392,1,1
456,IPC,392,1,1
457,IPC,302,1,1
458,IPC,392,1,1
459,IPC,392,1,1
460,IPC,392,1,1
461,IPC,302,1,1
462,IPC,392,1,1
463,IPC,302,1,1
464,IPC,392,1,1
465,IPC,302,1,1
466,IPC,302,1,1
467,IPC,302,1,1
468,IPC,392,1,1
469,IPC,392,1,1
470,IPC,392,1,1
471,IPC,302,1,1
472,IPC,392,1,1
473,IPC,302,1,1
474,IPC,302,1,1
475,IPC,392,1,1
476,IPC,302,1,1
477,IPC,302,1,1
478,IPC,392,1,1
479,IPC,392,1,1
480,IPC,302,1,1
481,IPC,392,1,1
482,IPC,302,1,1
483,IPC,392,1,1
484,IPC,302,1,1
485,IPC,302,1,1
486,IPC,392,1,1
487,IPC,302,1,1
488,IPC,302,1,1
489,IPC,392,1,1
490,IPC,302,1,1
491,IPC,302,1,1
492,IPC,392,1,1
493,IPC,392,1,1
494,IPC,302,1,1
495,IPC,302,1,1
496,IPC,302,1,1
497,IPC,302,1,1
498,IPC,392,1,1
499,IPC,392,1,1
500,IPC,302,1,1
