CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
35,10440019202600035,202600035,2025-11-17,19,19,1,2,2,2,1,7,2025-11-17 03:21:24,2025-11-17 05:21:24,2025-11-17 06:21:24,17.98154530480591,81.97677408759758,Incident reported at Ballari hotspot.
36,10440007202600036,202600036,2025-09-25,7,7,1,2,2,2,1,3,2025-09-25 23:42:15,2025-09-26 01:42:15,2025-09-26 02:42:15,13.971098284358632,78.04429097143351,Incident reported at Mangaluru hotspot.
37,10440013202600037,202600037,2026-05-09,13,13,1,2,2,2,1,5,2026-05-09 06:20:13,2026-05-09 08:20:13,2026-05-09 09:20:13,16.037636762647267,79.98146778807985,Incident reported at Belagavi hotspot.
38,10440004202600038,202600038,2026-01-29,4,4,1,2,2,2,1,2,2026-01-29 02:47:29,2026-01-29 04:47:29,2026-01-29 05:47:29,13.015543866529487,76.98956319010607,Incident reported at Mysuru hotspot.
39,10440001202600039,202600039,2026-05-06,1,1,1,1,1,1,1,1,2026-05-06 02:14:19,2026-05-06 04:14:19,2026-05-06 05:14:19,13.013054758974056,77.59048518525874,Incident reported at Bengaluru Urban hotspot.
40,10440028202600040,202600040,2026-06-08,28,28,1,1,1,1,1,10,2026-06-08 03:25:40,2026-06-08 05:25:40,2026-06-08 06:25:40,20.976488016649807,84.9746627507694,Incident reported at Vijayapura hotspot.
41,10440007202600041,202600041,2025-08-09,7,7,1,2,2,2,1,3,2025-08-09 23:06:54,2025-08-10 01:06:54,2025-08-10 02:06:54,14.006136813416315,77.9762741608523,Incident reported at Mangaluru hotspot.
42,10440010202600042,202600042,2025-12-14,10,10,1,2,2,2,1,4,2025-12-14 20:44:40,2025-12-14 22:44:40,2025-12-14 23:44:40,15.008458599022354,79.03978228836024,Incident reported at Hubballi-Dharwad hotspot.
43,10440007202600043,202600043,2025-09-19,7,7,1,2,2,2,1,3,2025-09-19 06:29:54,2025-09-19 08:29:54,2025-09-19 09:29:54,13.98994005051404,77.97193207591573,Incident reported at Mangaluru hotspot.
44,10440013202600044,202600044,2026-05-27,13,13,1,1,1,1,1,5,2026-05-27 21:57:55,2026-05-27 23:57:55,2026-05-28 00:57:55,16.049753760649512,80.00095262936765,Incident reported at Belagavi hotspot.
45,10440001202600045,202600045,2025-07-11,1,1,1,1,1,1,1,1,2025-07-11 12:35:07,2025-07-11 14:35:07,2025-07-11 15:35:07,12.93069094121738,77.54931163754247,Incident reported at Bengaluru Urban hotspot.
46,10440001202600046,202600046,2026-02-16,1,1,1,1,1,1,1,1,2026-02-16 05:45:48,2026-02-16 07:45:48,2026-02-16 08:45:48,12.932564913035066,77.60734460417031,Incident reported at Bengaluru Urban hotspot.
47,10440028202600047,202600047,2026-05-13,28,28,1,2,2,2,1,10,2026-05-13 22:59:10,2026-05-14 00:59:10,2026-05-14 01:59:10,21.029207936436297,84.99221599667997,Incident reported at Vijayapura hotspot.
48,10440007202600048,202600048,2025-08-05,7,7,1,2,2,2,1,3,2025-08-05 14:14:35,2025-08-05 16:14:35,2025-08-05 17:14:35,13.956352770615196,77.98816192865065,Incident reported at Mangaluru hotspot.
49,10440001202600049,202600049,2025-07-31,1,1,1,1,1,1,1,1,2025-07-31 04:35:13,2025-07-31 06:35:13,2025-07-31 07:35:13,13.02121213802401,77.59751143450991,Incident reported at Bengaluru Urban hotspot.
50,10440001202600050,202600050,2025-10-23,1,1,1,2,2,2,1,1,2025-10-23 00:43:45,2025-10-23 02:43:45,2025-10-23 03:43:45,13.018707837761362,77.63067797022345,Incident reported at Bengaluru Urban hotspot.
51,10440016202600051,202600051,2026-04-28,16,16,1,1,1,1,1,6,2026-04-28 12:51:41,2026-04-28 14:51:41,2026-04-28 15:51:41,16.95114810219428,81.02207218193603,Incident reported at Kalaburagi hotspot.
52,10440013202600052,202600052,2025-11-07,13,13,1,2,2,2,1,5,2025-11-07 14:37:59,2025-11-07 16:37:59,2025-11-07 17:37:59,16.018171036902658,80.00369703304088,Incident reported at Belagavi hotspot.
53,10440007202600053,202600053,2025-07-24,7,7,1,1,1,1,1,3,2025-07-24 02:43:44,2025-07-24 04:43:44,2025-07-24 05:43:44,13.976682518995254,78.01409617985799,Incident reported at Mangaluru hotspot.
54,10440028202600054,202600054,2025-11-05,28,28,1,1,1,1,1,10,2025-11-05 02:32:27,2025-11-05 04:32:27,2025-11-05 05:32:27,20.961155217359586,84.99347652506691,Incident reported at Vijayapura hotspot.
55,10440013202600055,202600055,2025-12-24,13,13,1,2,2,2,1,5,2025-12-24 18:40:04,2025-12-24 20:40:04,2025-12-24 21:40:04,15.995372370632921,80.04538159275211,Incident reported at Belagavi hotspot.
56,10440001202600056,202600056,2025-07-20,1,1,1,1,1,1,1,1,2025-07-20 06:22:34,2025-07-20 08:22:34,2025-07-20 09:22:34,13.00918529403782,77.57093890507511,Incident reported at Bengaluru Urban hotspot.
57,10440004202600057,202600057,2025-09-04,4,4,1,2,2,2,1,2,2025-09-04 01:04:51,2025-09-04 03:04:51,2025-09-04 04:04:51,13.00005861130503,76.96786518805301,Incident reported at Mysuru hotspot.
58,10440016202600058,202600058,2025-12-19,16,16,1,2,2,2,1,6,2025-12-19 14:05:37,2025-12-19 16:05:37,2025-12-19 17:05:37,17.04126278393448,81.03705185698368,Incident reported at Kalaburagi hotspot.
59,10440013202600059,202600059,2025-12-27,13,13,1,1,1,1,1,5,2025-12-27 01:08:28,2025-12-27 03:08:28,2025-12-27 04:08:28,15.979844479144864,80.0138949494866,Incident reported at Belagavi hotspot.
60,10440013202600060,202600060,2026-03-25,13,13,1,1,1,1,1,5,2026-03-25 08:35:24,2026-03-25 10:35:24,2026-03-25 11:35:24,16.010897021143816,79.96528392685497,Incident reported at Belagavi hotspot.
61,10440001202600061,202600061,2025-12-13,1,1,1,2,2,2,1,1,2025-12-13 07:38:18,2025-12-13 09:38:18,2025-12-13 10:38:18,12.997851080007516,77.59853790301196,Incident reported at Bengaluru Urban hotspot.
62,10440022202600062,202600062,2025-11-23,22,22,1,1,1,1,1,8,2025-11-23 11:35:35,2025-11-23 13:35:35,2025-11-23 14:35:35,19.027862647863056,83.00303536721952,Incident reported at Shivamogga hotspot.
63,10440013202600063,202600063,2026-03-30,13,13,1,1,1,1,1,5,2026-03-30 22:15:43,2026-03-31 00:15:43,2026-03-31 01:15:43,15.950057189612794,79.98241560570047,Incident reported at Belagavi hotspot.
64,10440004202600064,202600064,2026-03-27,4,4,1,1,1,1,1,2,2026-03-27 11:38:34,2026-03-27 13:38:34,2026-03-27 14:38:34,12.951947674238584,77.04290986162646,Incident reported at Mysuru hotspot.
65,10440010202600065,202600065,2026-02-21,10,10,1,1,1,1,1,4,2026-02-21 21:06:01,2026-02-21 23:06:01,2026-02-22 00:06:01,15.037872187782318,79.03316655293612,Incident reported at Hubballi-Dharwad hotspot.
66,10440001202600066,202600066,2026-06-16,1,1,1,2,2,2,1,1,2026-06-16 11:14:29,2026-06-16 13:14:29,2026-06-16 14:14:29,12.952351412540267,77.55039251664942,Incident reported at Bengaluru Urban hotspot.
67,10440001202600067,202600067,2025-10-08,1,1,1,1,1,1,1,1,2025-10-08 00:36:20,2025-10-08 02:36:20,2025-10-08 03:36:20,13.009400959920404,77.6392949445298,Incident reported at Bengaluru Urban hotspot.
68,10440025202600068,202600068,2026-01-23,25,25,1,1,1,1,1,9,2026-01-23 03:18:44,2026-01-23 05:18:44,2026-01-23 06:18:44,19.95856534520679,83.99859904633166,Incident reported at Tumakuru hotspot.
69,10440004202600069,202600069,2025-12-11,4,4,1,2,2,2,1,2,2025-12-11 18:13:29,2025-12-11 20:13:29,2025-12-11 21:13:29,12.956921251846838,77.02606021652572,Incident reported at Mysuru hotspot.
70,10440016202600070,202600070,2025-11-05,16,16,1,1,1,1,1,6,2025-11-05 05:58:22,2025-11-05 07:58:22,2025-11-05 08:58:22,17.026583442930697,80.96283914644998,Incident reported at Kalaburagi hotspot.
71,10440004202600071,202600071,2025-08-31,4,4,1,1,1,1,1,2,2025-08-31 11:29:48,2025-08-31 13:29:48,2025-08-31 14:29:48,12.997528237809874,77.00498035934949,Incident reported at Mysuru hotspot.
72,10440010202600072,202600072,2026-05-22,10,10,1,1,1,1,1,4,2026-05-22 19:37:41,2026-05-22 21:37:41,2026-05-22 22:37:41,14.976505662894006,79.03724330410853,Incident reported at Hubballi-Dharwad hotspot.
73,10440004202600073,202600073,2026-04-12,4,4,1,2,2,2,1,2,2026-04-12 03:45:04,2026-04-12 05:45:04,2026-04-12 06:45:04,12.992313794020088,76.97117982054421,Incident reported at Mysuru hotspot.
74,10440013202600074,202600074,2025-08-28,13,13,1,1,1,1,1,5,2025-08-28 12:26:09,2025-08-28 14:26:09,2025-08-28 15:26:09,16.003929608877947,80.022993106909,Incident reported at Belagavi hotspot.
75,10440001202600075,202600075,2025-09-28,1,1,1,2,2,2,1,1,2025-09-28 16:14:52,2025-09-28 18:14:52,2025-09-28 19:14:52,12.94171510633897,77.57577162913009,Incident reported at Bengaluru Urban hotspot.
76,10440013202600076,202600076,2026-03-10,13,13,1,2,2,2,1,5,2026-03-10 11:50:17,2026-03-10 13:50:17,2026-03-10 14:50:17,16.04951493566609,80.01498780576395,Incident reported at Belagavi hotspot.
77,10440013202600077,202600077,2026-05-28,13,13,1,2,2,2,1,5,2026-05-28 17:47:26,2026-05-28 19:47:26,2026-05-28 20:47:26,15.993810008391451,80.00175758410356,Incident reported at Belagavi hotspot.
78,10440010202600078,202600078,2026-02-12,10,10,1,2,2,2,1,4,2026-02-12 13:17:08,2026-02-12 15:17:08,2026-02-12 16:17:08,14.962100419586827,78.97246973370315,Incident reported at Hubballi-Dharwad hotspot.
79,10440001202600079,202600079,2026-03-24,1,1,1,2,2,2,1,1,2026-03-24 10:05:10,2026-03-24 12:05:10,2026-03-24 13:05:10,12.955408556214746,77.60343087184572,Incident reported at Bengaluru Urban hotspot.
80,10440025202600080,202600080,2025-09-21,25,25,1,2,2,2,1,9,2025-09-21 00:31:52,2025-09-21 02:31:52,2025-09-21 03:31:52,19.973011473259657,83.97202173844515,Incident reported at Tumakuru hotspot.
81,10440022202600081,202600081,2025-12-20,22,22,1,2,2,2,1,8,2025-12-20 19:18:44,2025-12-20 21:18:44,2025-12-20 22:18:44,18.957099308600903,83.013110295727,Incident reported at Shivamogga hotspot.
82,10440007202600082,202600082,2026-01-03,7,7,1,2,2,2,1,3,2026-01-03 21:52:25,2026-01-03 23:52:25,2026-01-04 00:52:25,13.972894178381116,78.04054200130061,Incident reported at Mangaluru hotspot.
83,10440001202600083,202600083,2025-07-23,1,1,1,1,1,1,1,1,2025-07-23 13:55:18,2025-07-23 15:55:18,2025-07-23 16:55:18,13.007563540025375,77.55168573498887,Incident reported at Bengaluru Urban hotspot.
84,10440013202600084,202600084,2026-03-21,13,13,1,1,1,1,1,5,2026-03-21 13:47:16,2026-03-21 15:47:16,2026-03-21 16:47:16,15.9738004634369,80.01689777782963,Incident reported at Belagavi hotspot.
85,10440022202600085,202600085,2025-11-24,22,22,1,1,1,1,1,8,2025-11-24 03:27:02,2025-11-24 05:27:02,2025-11-24 06:27:02,18.971423680737043,82.9632311848725,Incident reported at Shivamogga hotspot.
86,10440004202600086,202600086,2025-12-11,4,4,1,2,2,2,1,2,2025-12-11 03:55:17,2025-12-11 05:55:17,2025-12-11 06:55:17,13.043551424058068,77.00710430933253,Incident reported at Mysuru hotspot.
87,10440010202600087,202600087,2026-02-02,10,10,1,1,1,1,1,4,2026-02-02 05:35:24,2026-02-02 07:35:24,2026-02-02 08:35:24,14.997267102631179,79.02846194242908,Incident reported at Hubballi-Dharwad hotspot.
88,10440010202600088,202600088,2026-04-02,10,10,1,1,1,1,1,4,2026-04-02 03:44:13,2026-04-02 05:44:13,2026-04-02 06:44:13,15.030749699776665,78.96904099143619,Incident reported at Hubballi-Dharwad hotspot.
89,10440001202600089,202600089,2025-12-20,1,1,1,2,2,2,1,1,2025-12-20 09:20:09,2025-12-20 11:20:09,2025-12-20 12:20:09,12.931293081422883,77.58770511824063,Incident reported at Bengaluru Urban hotspot.
90,10440004202600090,202600090,2026-02-01,4,4,1,1,1,1,1,2,2026-02-01 06:46:10,2026-02-01 08:46:10,2026-02-01 09:46:10,12.992357862301992,76.99670246680367,Incident reported at Mysuru hotspot.
91,10440004202600091,202600091,2026-02-28,4,4,1,2,2,2,1,2,2026-02-28 03:40:33,2026-02-28 05:40:33,2026-02-28 06:40:33,13.022907584945985,77.01733645472933,Incident reported at Mysuru hotspot.
92,10440013202600092,202600092,2026-02-03,13,13,1,2,2,2,1,5,2026-02-03 04:12:50,2026-02-03 06:12:50,2026-02-03 07:12:50,16.0484165211366,79.9598417871152,Incident reported at Belagavi hotspot.
93,10440007202600093,202600093,2026-04-07,7,7,1,1,1,1,1,3,2026-04-07 18:37:07,2026-04-07 20:37:07,2026-04-07 21:37:07,13.990262128210228,77.9839302605395,Incident reported at Mangaluru hotspot.
94,10440004202600094,202600094,2026-05-23,4,4,1,2,2,2,1,2,2026-05-23 18:07:21,2026-05-23 20:07:21,2026-05-23 21:07:21,13.036167253635279,76.97486563339203,Incident reported at Mysuru hotspot.
95,10440004202600095,202600095,2026-03-08,4,4,1,2,2,2,1,2,2026-03-08 11:59:38,2026-03-08 13:59:38,2026-03-08 14:59:38,12.969020890844082,76.99486135478331,Incident reported at Mysuru hotspot.
96,10440016202600096,202600096,2026-01-30,16,16,1,1,1,1,1,6,2026-01-30 20:19:25,2026-01-30 22:19:25,2026-01-30 23:19:25,16.99218816398344,80.9778545144667,Incident reported at Kalaburagi hotspot.
97,10440004202600097,202600097,2025-10-08,4,4,1,1,1,1,1,2,2025-10-08 12:21:07,2025-10-08 14:21:07,2025-10-08 15:21:07,12.97498064478821,77.0423265599276,Incident reported at Mysuru hotspot.
98,10440004202600098,202600098,2026-05-06,4,4,1,2,2,2,1,2,2026-05-06 01:57:18,2026-05-06 03:57:18,2026-05-06 04:57:18,12.994313074505346,77.03613491047618,Incident reported at Mysuru hotspot.
99,10440010202600099,202600099,2026-06-15,10,10,1,2,2,2,1,4,2026-06-15 20:01:49,2026-06-15 22:01:49,2026-06-15 23:01:49,15.005032531244984,78.95505883295249,Incident reported at Hubballi-Dharwad hotspot.
100,10440001202600100,202600100,2026-02-16,1,1,1,2,2,2,1,1,2026-02-16 21:29:45,2026-02-16 23:29:45,2026-02-17 00:29:45,13.021528246841273,77.628202758508,Incident reported at Bengaluru Urban hotspot.
101,10440028202600101,202600101,2026-04-10,28,28,1,1,1,1,1,10,2026-04-10 16:02:18,2026-04-10 18:02:18,2026-04-10 19:02:18,21.046899625728475,85.04263669830081,Incident reported at Vijayapura hotspot.
102,10440016202600102,202600102,2026-06-02,16,16,1,1,1,1,1,6,2026-06-02 20:50:25,2026-06-02 22:50:25,2026-06-02 23:50:25,17.03486957344143,80.9666311110604,Incident reported at Kalaburagi hotspot.
103,10440010202600103,202600103,2026-02-15,10,10,1,2,2,2,1,4,2026-02-15 07:08:44,2026-02-15 09:08:44,2026-02-15 10:08:44,14.998564112545072,78.97137472991992,Incident reported at Hubballi-Dharwad hotspot.
104,10440013202600104,202600104,2025-10-25,13,13,1,1,1,1,1,5,2025-10-25 17:38:39,2025-10-25 19:38:39,2025-10-25 20:38:39,15.990104029254946,79.95586353999722,Incident reported at Belagavi hotspot.
105,10440016202600105,202600105,2025-11-07,16,16,1,1,1,1,1,6,2025-11-07 04:18:52,2025-11-07 06:18:52,2025-11-07 07:18:52,16.98789731189769,81.04853088437797,Incident reported at Kalaburagi hotspot.
106,10440007202600106,202600106,2025-11-28,7,7,1,1,1,1,1,3,2025-11-28 17:00:20,2025-11-28 19:00:20,2025-11-28 20:00:20,13.976520305817216,78.02840706019485,Incident reported at Mangaluru hotspot.
107,10440016202600107,202600107,2026-04-19,16,16,1,2,2,2,1,6,2026-04-19 13:56:23,2026-04-19 15:56:23,2026-04-19 16:56:23,16.995500836733914,80.99230074859902,Incident reported at Kalaburagi hotspot.
108,10440010202600108,202600108,2026-04-03,10,10,1,2,2,2,1,4,2026-04-03 03:15:09,2026-04-03 05:15:09,2026-04-03 06:15:09,15.045731764085968,79.04954226894927,Incident reported at Hubballi-Dharwad hotspot.
109,10440013202600109,202600109,2025-12-03,13,13,1,1,1,1,1,5,2025-12-03 16:14:33,2025-12-03 18:14:33,2025-12-03 19:14:33,16.005576832340562,80.02184082752963,Incident reported at Belagavi hotspot.
110,10440022202600110,202600110,2025-11-08,22,22,1,2,2,2,1,8,2025-11-08 22:44:31,2025-11-09 00:44:31,2025-11-09 01:44:31,18.965479682527405,82.97967078254946,Incident reported at Shivamogga hotspot.
111,10440022202600111,202600111,2026-04-09,22,22,1,2,2,2,1,8,2026-04-09 04:11:37,2026-04-09 06:11:37,2026-04-09 07:11:37,19.046870936496916,83.00791802908162,Incident reported at Shivamogga hotspot.
112,10440010202600112,202600112,2026-02-24,10,10,1,2,2,2,1,4,2026-02-24 14:46:17,2026-02-24 16:46:17,2026-02-24 17:46:17,15.004219520137427,79.02479755603791,Incident reported at Hubballi-Dharwad hotspot.
113,10440001202600113,202600113,2025-07-14,1,1,1,2,2,2,1,1,2025-07-14 10:36:04,2025-07-14 12:36:04,2025-07-14 13:36:04,12.927316527290749,77.60301775944589,Incident reported at Bengaluru Urban hotspot.
114,10440004202600114,202600114,2025-12-06,4,4,1,2,2,2,1,2,2025-12-06 06:45:08,2025-12-06 08:45:08,2025-12-06 09:45:08,13.00028503829195,77.03527198920483,Incident reported at Mysuru hotspot.
115,10440001202600115,202600115,2026-05-26,1,1,1,1,1,1,1,1,2026-05-26 01:41:03,2026-05-26 03:41:03,2026-05-26 04:41:03,12.93734327279395,77.64067789032744,Incident reported at Bengaluru Urban hotspot.
116,10440022202600116,202600116,2026-01-22,22,22,1,2,2,2,1,8,2026-01-22 16:49:12,2026-01-22 18:49:12,2026-01-22 19:49:12,18.958011146524058,82.96858249609807,Incident reported at Shivamogga hotspot.
117,10440013202600117,202600117,2025-09-25,13,13,1,2,2,2,1,5,2025-09-25 17:13:28,2025-09-25 19:13:28,2025-09-25 20:13:28,16.009503510645004,80.0175212553604,Incident reported at Belagavi hotspot.
118,10440028202600118,202600118,2026-06-13,28,28,1,2,2,2,1,10,2026-06-13 16:50:27,2026-06-13 18:50:27,2026-06-13 19:50:27,20.97352038950009,84.96198866139471,Incident reported at Vijayapura hotspot.
119,10440007202600119,202600119,2026-04-01,7,7,1,2,2,2,1,3,2026-04-01 03:12:25,2026-04-01 05:12:25,2026-04-01 06:12:25,14.039028731412944,77.97462153477886,Incident reported at Mangaluru hotspot.
120,10440022202600120,202600120,2026-03-01,22,22,1,1,1,1,1,8,2026-03-01 01:17:14,2026-03-01 03:17:14,2026-03-01 04:17:14,19.009451915353345,83.0119381510332,Incident reported at Shivamogga hotspot.
121,10440004202600121,202600121,2026-06-22,4,4,1,1,1,1,1,2,2026-06-22 20:08:18,2026-06-22 22:08:18,2026-06-22 23:08:18,12.991922491533588,77.00836722892912,Incident reported at Mysuru hotspot.
122,10440004202600122,202600122,2026-03-16,4,4,1,1,1,1,1,2,2026-03-16 20:13:26,2026-03-16 22:13:26,2026-03-16 23:13:26,13.002278271553196,77.04347062577364,Incident reported at Mysuru hotspot.
123,10440025202600123,202600123,2025-07-12,25,25,1,1,1,1,1,9,2025-07-12 22:33:56,2025-07-13 00:33:56,2025-07-13 01:33:56,19.970425919942354,84.02161918007894,Incident reported at Tumakuru hotspot.
124,10440004202600124,202600124,2025-07-27,4,4,1,2,2,2,1,2,2025-07-27 03:51:48,2025-07-27 05:51:48,2025-07-27 06:51:48,12.973868595261585,76.98957858467912,Incident reported at Mysuru hotspot.
